SM_Name,Customer_Name,Phone_Number
 NDIFON ISAIAH NTUI,APOSTOLIV DIVINE TOUCH SCHOOL,080253888627
 NDIFON ISAIAH NTUI,THE GRACE AND GOLD SCHOOL,08057827313
 NDIFON ISAIAH NTUI,BERYL INTERNATIONAL SCHOOL,08063346420
 NDIFON ISAIAH NTUI,ANGEL SECONDARY SCHOOL IKOT ENOBONG ,08036620032
 NDIFON ISAIAH NTUI,FRUIT VAIN NURSERY AND PRIMARY SCHOOL,08130977940
 NDIFON ISAIAH NTUI,GREENLAND NURSERY AND PRIMARY SCHOOL,08133311527
 NDIFON ISAIAH NTUI,CALABAR PREPARATORY NURSERY,08055513985
 NDIFON ISAIAH NTUI,LIVING STONE ACADEMY NURSERY AND PRIMARY SCHOOL,07034273156
 NDIFON ISAIAH NTUI,APOSTOLIC FAITH NURSERY AND PRIMARY SCHOOL,07038215021
 NDIFON ISAIAH NTUI,ST BERNARD NJURSERY  AND PRIMARY SCHOOL,08065046858
 NDIFON ISAIAH NTUI,AKU NURSERY AND PRIMARY SCHOOL,08037454546
 NDIFON ISAIAH NTUI,TOP EXQUSITE INTERNATIONAL SCHOOL (PRIMARY),07088887689
 NDIFON ISAIAH NTUI,GODS PRESTIGIOUS NURSERY AND PRIMARY SCHOOL,07034454321
 NDIFON ISAIAH NTUI,SECRET HEART GIRLS SECREDONADY SCHOOL,08033979415
 NDIFON ISAIAH NTUI,FAITH WAY NURSERY AND PRIMARY SCHOOL,08037349915
 NDIFON ISAIAH NTUI,ZENATA ACADEMY CRECH AND PRIMARY SCHOOL,09033152297
 NDIFON ISAIAH NTUI,MARKS CRECHE AND SCHOOL,08059426003
 NDIFON ISAIAH NTUI,HOLY TRINITY COLLEGE,08037052730
 NDIFON ISAIAH NTUI,EDIBA QUO PCN INTERNATIONAL SCHOOL,08058358308
 NDIFON ISAIAH NTUI,EDIMEN HIGH SCHOL,07043294150
 NDIFON ISAIAH NTUI,GROOMVILLE INTERNATIONAL NURSERY AN PRIMARY SCHOOL,09016558706
 NDIFON ISAIAH NTUI,UEC EXCELLENCE INTERNATIONAL NURSERY AND PRIMARY,08037775522
 NDIFON ISAIAH NTUI,UEC EXCELLENCE SECONDARY SCHOOL,07077972740
 NDIFON ISAIAH NTUI,LIORA ACADEMY NURSERY AND PRIMARY SCHOOL,08174379524
 NDIFON ISAIAH NTUI,ACHIEVER ACADEMY NURSERY AND PRIMARY SCHOOL,08034328864
 NDIFON ISAIAH NTUI,SPC NURSERY AND PRIMARY SCHOOL,07038116939
 NDIFON ISAIAH NTUI,SUPERSTAR TOWER OF EXCELLENCE,09137751889
 NDIFON ISAIAH NTUI,MEG INTERNATIONAL NURSERY AND PRIMARY SHOOL,08101638766
 NDIFON ISAIAH NTUI,ELSHE INTERNATIONAL SCHOOL,08067885851
 NDIFON ISAIAH NTUI,MINISTRY OF WOMEN AFFAIRS NURSERY ANDPRIMARY SCHOOL,07030180238
 NDIFON ISAIAH NTUI,MERILEBON ACADEMY SCHOOL,08036334903
 NDIFON ISAIAH NTUI,IMPACT GROUP OF SCHOOL,07034892627
 NDIFON ISAIAH NTUI,BRIGHT SANDY NURSEDRY AND PRIMARY SCHOOL,08135926147
 NDIFON ISAIAH NTUI,STAFF DEMONSTRATION NURSERY AND PRIMARY SCHOOL (CALABAR),09069442088
 NDIFON ISAIAH NTUI,RESOLUTE CHILD NURSEDRY AND PRIMARY SCHOOL,08065573295
 NDIFON ISAIAH NTUI,EL-SHADDAI MONTESSOTI NURSERY AND PRIMARY SCHOOL,08142342845
 NDIFON ISAIAH NTUI,DIVINE VICTORY ACADEMY NURSERY /PRI . SCH ,08037851593
 NDIFON ISAIAH NTUI,EDGERLY MEMORIAL GIRLS SECONDARY SCHOOL ,08132363582
 NDIFON ISAIAH NTUI,RANOR SCHOOLS ,08066599974
 NDIFON ISAIAH NTUI,GOLDEN GROWN STANDARD ACADEMY,08063690662
 NDIFON ISAIAH NTUI,ANNE'S MEMORIAL NURSERY AND PRIMARY SCHOOL,07067043291
 NDIFON ISAIAH NTUI,EDGERLEY NURSERY SCHOOL,08036543719
 NDIFON ISAIAH NTUI,LIGHTHOUSE INTERNATIONAL ACADEMY ,07062558464
 NDIFON ISAIAH NTUI,CALABAR IMPERIAL NURSERY AND PRIMARY  ,08027318364
 NDIFON ISAIAH NTUI,CHILDREN OF PROMISE SECONDARY SCHOOL,08057422672
 NDIFON ISAIAH NTUI,ST BRAIN NURSERY AND PRIMARY SCHOOL,08130077431
 NDIFON ISAIAH NTUI,FIRM FOUNDATION PRIMARY ADN NURSERY ACADEMY ,08035473120
 NDIFON ISAIAH NTUI,SANTA MARIA NURSERY AND PRIMARY SCHOOL,08064273083
 NDIFON ISAIAH NTUI,CHARLES WALKER NURSERY/PRIMARY SCHOOL,08035090747
 NDIFON ISAIAH NTUI,ANCILLA GIRLS,08060811258
 NDIFON ISAIAH NTUI,EXCEEDING GRACE MONTESSORI SCHOOL,08109810087
 NDIFON ISAIAH NTUI,BASIN AUTHORITY NURSERY AND PRIMARY SCHOOL,08039303960
 NDIFON ISAIAH NTUI,CHRISTIAN HIGH SCHOOL ,08185414092
 NDIFON ISAIAH NTUI,BEUMAS INTERNATIONAL SCHOOL,08076686869
 NDIFON ISAIAH NTUI,EMERALD FOUNTAIN NURSERY AND PRIMARY SCHOOL,08028932746
